ID,File_Name,Crop_Index,R_mean,G_mean,B_mean
M_104_1,M_104_1.mp4_sec_0018.jpg,9,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0018.jpg,10,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0019.jpg,1,208.8899,165.8899,175.8899
M_104_1,M_104_1.mp4_sec_0019.jpg,2,210.7214,168.9956,178.6563
M_104_1,M_104_1.mp4_sec_0019.jpg,3,208.7147,165.7147,175.7147
M_104_1,M_104_1.mp4_sec_0019.jpg,4,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0019.jpg,5,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0019.jpg,6,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0019.jpg,7,208.7036,165.7036,175.7036
M_104_1,M_104_1.mp4_sec_0019.jpg,8,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0019.jpg,9,208.6378,165.6445,175.5625
M_104_1,M_104_1.mp4_sec_0019.jpg,10,209.0,166.0,176.0
M_104_1,M_104_1.mp4_sec_0020.jpg,1,208.0355,164.9823,175.0
M_104_1,M_104_1.mp4_sec_0020.jpg,2,208.1523,165.1523,175.1523
M_104_1,M_104_1.mp4_sec_0020.jpg,3,208.1323,165.1323,175.1323
M_104_1,M_104_1.mp4_sec_0020.jpg,4,208.1109,165.3304,175.2446
M_104_1,M_104_1.mp4_sec_0020.jpg,5,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0020.jpg,6,208.1286,165.731,175.2498
M_104_1,M_104_1.mp4_sec_0020.jpg,7,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0020.jpg,8,208.932,165.932,175.932
M_104_1,M_104_1.mp4_sec_0020.jpg,9,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0020.jpg,10,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0021.jpg,1,211.0251,168.0251,178.0251
M_104_1,M_104_1.mp4_sec_0021.jpg,2,209.2838,166.0074,176.8455
M_104_1,M_104_1.mp4_sec_0021.jpg,3,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0021.jpg,4,208.7598,165.7598,175.7598
M_104_1,M_104_1.mp4_sec_0021.jpg,5,210.1693,167.1693,177.1693
M_104_1,M_104_1.mp4_sec_0021.jpg,6,207.2831,164.2831,174.2831
M_104_1,M_104_1.mp4_sec_0021.jpg,7,207.9978,164.9978,174.9978
M_104_1,M_104_1.mp4_sec_0021.jpg,8,207.4627,164.4627,174.4627
M_104_1,M_104_1.mp4_sec_0021.jpg,9,207.7147,164.7147,174.7147
M_104_1,M_104_1.mp4_sec_0021.jpg,10,208.4826,165.4738,175.5004
M_104_1,M_104_1.mp4_sec_0022.jpg,1,209.0503,166.1959,176.1234
M_104_1,M_104_1.mp4_sec_0022.jpg,2,209.2816,166.6334,176.6408
M_104_1,M_104_1.mp4_sec_0022.jpg,3,208.9586,165.9586,175.9586
M_104_1,M_104_1.mp4_sec_0022.jpg,4,207.8825,165.8973,175.612
M_104_1,M_104_1.mp4_sec_0022.jpg,5,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0022.jpg,6,207.238,164.238,174.238
M_104_1,M_104_1.mp4_sec_0022.jpg,7,210.0613,167.1559,177.1559
M_104_1,M_104_1.mp4_sec_0022.jpg,8,211.3548,170.0673,179.1944
M_104_1,M_104_1.mp4_sec_0022.jpg,9,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0022.jpg,10,207.9409,164.9409,174.9409
M_104_1,M_104_1.mp4_sec_0023.jpg,1,208.5048,165.5048,175.5048
M_104_1,M_104_1.mp4_sec_0023.jpg,2,208.2106,165.2106,175.2106
M_104_1,M_104_1.mp4_sec_0023.jpg,3,208.3769,165.3769,175.3769
M_104_1,M_104_1.mp4_sec_0023.jpg,4,207.9357,164.9268,174.9534
M_104_1,M_104_1.mp4_sec_0023.jpg,5,207.9926,164.9926,174.9926
M_104_1,M_104_1.mp4_sec_0023.jpg,6,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0023.jpg,7,208.7103,165.7103,175.7103
M_104_1,M_104_1.mp4_sec_0023.jpg,8,208.745,165.745,175.745
M_104_1,M_104_1.mp4_sec_0023.jpg,9,208.4457,165.4457,175.4457
M_104_1,M_104_1.mp4_sec_0023.jpg,10,208.2764,165.2764,175.2764
M_104_1,M_104_1.mp4_sec_0024.jpg,1,207.9084,164.9084,174.9084
M_104_1,M_104_1.mp4_sec_0024.jpg,2,208.4782,165.4043,175.6275
M_104_1,M_104_1.mp4_sec_0024.jpg,3,207.9527,164.9527,174.9527
M_104_1,M_104_1.mp4_sec_0024.jpg,4,208.2439,165.2439,175.2439
M_104_1,M_104_1.mp4_sec_0024.jpg,5,208.0,165.0,175.0
M_104_1,M_104_1.mp4_sec_0024.jpg,6,207.4035,164.4035,174.4035
M_104_1,M_104_1.mp4_sec_0024.jpg,7,208.0,165.0,175.0
